,Artiste,Titre,Catégorie,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
148, Branford Marsalis Quartet Terence Blanchard,Mo' Better Blues (feat. Terence Blanchard),jazz,78P3mF3w6APwFpnd6UFH4J,0.616,0.278,1,-16.973,1,0.0283,0.357,0.192,0.153,0.443,100.325,218973,4
149, Scott Hamilton,Stockholm Sweetnin',jazz,73fjTjTG8KSLQ04t5fARWm,0.609,0.299,7,-11.617,0,0.0425,0.835,0.899,0.113,0.305,120.074,475680,4
150, Julie London,Cry Me A River,jazz,7rcfs2bBj5mNyiJbBIQ7cc,0.455,0.0197,11,-21.882,0,0.0492,0.975,0.000872,0.103,0.127,85.525,174013,3
151, Beegie Adair,They Didn't Believe Me,jazz,34oMi39G5RYgaCPwRNJ7OU,0.583,0.233,8,-15.529,1,0.0354,0.839,0.816,0.139,0.505,135.308,209333,4
152, Shai Maestro,The Dream Thief,jazz,0YCzCTj47uGmUC72vWkVcy,0.271,0.222,9,-22.303,1,0.0331,0.898,0.925,0.108,0.115,100.012,509120,4
153, Stéphane Kerecki Quartet,All I Need,jazz,7I63rA0w2lgv2iMaS7NRjY,0.534,0.32,0,-12.524,1,0.0373,0.93,0.736,0.11,0.157,83.022,432387,4
154, Bobby Hutcherson,Stardust,jazz,6QqXTZUL8O3y46rgDEWnsm,0.352,0.0351,1,-22.254,1,0.0347,0.975,0.607,0.193,0.21,56.16,323600,4
155, Stan Getz,Misty,jazz,4YhDhdIh1YYVmNUvnYjoRy,0.328,0.0421,6,-22.933,1,0.0426,0.993,0.525,0.0964,0.179,52.793,323227,4
156, Led Zeppelin,Whole Lotta Love - 1990 Remaster,rock,0hCB0YR03f6AmQaHbwWDe8,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893,4
157, Jimi Hendrix,All Along the Watchtower,rock,2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4
158, AC/DC,Back In Black,rock,08mG3Y1vljYA6bvDt4Wqkj,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4
159, The Rolling Stones,"Paint It, Black - Mono",rock,1RJeiAIwR9pZBgJA8ndZLL,0.505,0.836,5,-7.384,0,0.101,0.0103,0.0771,0.295,0.764,159.669,204480,4
160, David Bowie,Rebel Rebel - 1999 Remaster,rock,66lOpKgTyFjOrac4S1s94g,0.676,0.92,9,-7.96,1,0.0435,0.00101,8.65e-06,0.248,0.624,126.341,269360,4
161, The Beatles,Come Together - Remastered 2009,rock,2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,259947,4
162, The Clash,Should I Stay or Should I Go - Remastered,rock,39shmbIHICJ2Wxnk1fPSdz,0.742,0.833,2,-6.463,1,0.115,0.079,0.0,0.384,0.816,113.375,188987,4
163, The Who,Baba O'Riley,rock,2KmEgiY8fQs0G6WNxtzQKr,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4
164, Aerosmith,Sweet Emotion,rock,24NwBd5vZ2CK8VOQVnqdxr,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,274133,4
165, Queen,Another One Bites The Dust - Remastered 2011,rock,57JVGBtBLCfHw2muk5416J,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4
166, The Doors,Light My Fire,rock,5uvosCdMlFdTXhoazkTI5R,0.413,0.725,3,-5.787,0,0.0324,0.369,2.16e-05,0.0905,0.44,124.618,429760,4
167, ZZ Top,La Grange - 2005 Remaster,rock,70YvYr2hGlS01bKRIho1HM,0.545,0.64,4,-9.937,0,0.224,0.00249,0.0304,0.196,0.606,80.544,230480,4
168, Tom Petty and the Heartbreakers,American Girl,rock,7MRyJPksH3G2cXHN8UKYzP,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,4
169, Guns N' Roses,Paradise City,rock,3YBZIN3rekqsKxbJc9FZko,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,405640,4
170, The Animals,House Of The Rising Sun,rock,61Q9oJNd9hJQFhSDh6Qlap,0.315,0.534,9,-7.552,0,0.031,0.000825,0.108,0.101,0.283,116.891,269720,3
171, Bob Dylan,Like a Rolling Stone,rock,3AhXZa8sUQht0UEdBJgpGc,0.483,0.721,0,-6.836,1,0.032,0.729,0.0,0.189,0.562,95.261,369600,4
172, Cream,Sunshine Of Your Love,rock,2K2M0TcglCRLLpFOzKeFZA,0.683,0.594,2,-8.289,1,0.0347,0.385,8.61e-05,0.121,0.734,115.099,250400,4
173, Lynyrd Skynyrd,Sweet Home Alabama,rock,4CJVkjo5WpmUAKp3R44LNb,0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,281147,4
174, Creedence Clearwater Revival,Fortunate Son,rock,4BP3uh0hFLFRb5cjsgLqDh,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
175, Pink Floyd,"Another Brick in the Wall, Pt. 2",rock,4gMgiXfqyzZLMhsksGmbQV,0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,238747,4
176, Fleetwood Mac,The Chain,rock,2X6gdRlGOQgfaXU9ALUQFQ,0.546,0.529,9,-13.6,1,0.0436,0.0629,0.000567,0.0383,0.574,151.727,271000,4
177, Janis Joplin,Me and Bobby McGee,rock,1IqFh00G2kvvMm8pRMpehA,0.453,0.464,2,-10.96,1,0.0431,0.302,5.96e-05,0.152,0.658,93.19,271333,4
178, Eagles,Hotel California - 2013 Remaster,rock,40riOy7x9W7GXjyGp4pjAv,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4
179, Steve Miller Band,The Joker,rock,371VkfwKiXJxgH5ZPoQNHD,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,4
180, Steppenwolf,Born To Be Wild,rock,63OFKbMaZSDZ4wtesuuq6f,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,210373,4
181, Buffalo Springfield,For What It's Worth,rock,1qRA5BS78u3gME0loMl9AA,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4
182, Boston,More Than a Feeling,rock,32kgOw8wejH7zUhtXCM8DH,0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133,4
183, Dire Straits,Sultans of Swing,rock,6cr6UDpkjEaMQ80OjWqEBQ,0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,350400,4
184, Jefferson Airplane,Somebody to Love,rock,4uGIJG1jYFonGc4LGp5uQL,0.504,0.578,4,-9.302,1,0.031,0.408,0.0,0.321,0.654,132.411,174840,4
185, Lou Reed,Walk On the Wild Side,rock,5p3JunprHCxClJjOmcLV8G,0.575,0.318,0,-16.729,1,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,4
186, KISS,Rock And Roll All Nite,rock,6KTv0Z8BmVqM7DPxbGzpVC,0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,168840,4
187, Rush,Tom Sawyer,rock,3QZ7uX97s82HFYSmQUAN1D,0.536,0.901,9,-7.211,1,0.0374,0.00145,0.0186,0.06,0.666,87.559,276880,4
188, Queen David Bowie,Under Pressure - Remastered,rock,2aSFLiDPreOVP6KHiWk4lF,0.663,0.712,2,-7.268,1,0.0479,0.524,0.0,0.0804,0.527,113.439,236520,4
189, Prince,When Doves Cry,rock,51H2y6YrNNXcy3dfc3qSbA,0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,352906,4
190, The Police,Every Breath You Take - Remastered 2003,rock,2sXp9Qmvc7mRaDBjBgcGGi,0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,253887,4
191, Blue Öyster Cult,(Don't Fear) The Reaper,rock,5QTxFnGygVM4jFQiBovmRo,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,4
192, America George Martin,A Horse with No Name,rock,54eZmuggBFJbV7k248bTTt,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,252240,4
193, Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",rock,3gdewACMIVMEWVbyb8O9sY,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25e-06,0.0925,0.341,136.571,281613,4
194, Cheap Trick,I Want You to Want Me,rock,1JkZg3eMQTmTn93E8Yd3UL,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,191227,4
195, Led Zeppelin,Kashmir - Remaster,rock,6Vjk8MNXpQpi0F4BefdTyq,0.483,0.615,2,-8.538,1,0.0497,0.452,0.000414,0.0512,0.594,80.576,517125,3
196, Aerosmith,Dream On,rock,5MxNLUsfh7uzROypsoO5qe,0.307,0.433,1,-10.057,1,0.029,0.388,9.08e-05,0.332,0.224,160.9,266960,4
197, AC/DC,Highway to Hell,rock,2zYzyRzz6pRmhPzyfMEC8s,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4
198, Stevie Nicks,Edge of Seventeen - 2016 Remaster,rock,5LNiqEqpDc8TuqPy79kDBu,0.591,0.804,0,-7.299,1,0.0454,0.327,5.98e-06,0.0818,0.658,111.457,329413,4
199, Joan Jett & The Blackhearts,I Hate Myself for Loving You,rock,2HXixVqzzm9rEUIMAWzshl,0.611,0.883,9,-11.225,1,0.0539,0.0846,1.2e-06,0.192,0.604,117.928,246800,4
200, Queen,Bohemian Rhapsody - Remastered 2011,rock,1AhDOtG9vPSOmsWgNW0BEY,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,354320,4
201, Cream,White Room,rock,5X76oXHcR5uCXali0gOyX5,0.55,0.576,0,-13.475,1,0.0306,0.178,0.00935,0.0555,0.486,109.837,303200,4
202, Creedence Clearwater Revival,Fortunate Son,rock,5e6x5YRnMJIKvYpZxLqdpH,0.636,0.746,0,-3.785,1,0.0393,0.0648,0.29,0.173,0.432,132.31,138053,4
203, Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered,rock,3k9i7UzeSUYWIfUZFeFDUd,0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,423840,4
204, Don McLean,American Pie,rock,1fDsrQ23eTAVFElUMaf38X,0.531,0.481,4,-11.709,0,0.06,0.699,0.0,0.0842,0.491,138.45,516893,4
205, Bob Dylan,Hurricane,rock,1lqMLr9Wj7SM2F9AikGcxN,0.509,0.827,0,-7.715,1,0.079,0.0409,0.0,0.12,0.743,135.601,512733,4
206, Black Sabbath,Paranoid,rock,1Ly0ssAgeM7YqdHptao8Oe,0.426,0.619,4,-11.501,0,0.0722,8.44e-05,0.00239,0.17,0.382,162.721,168440,4
207, Deep Purple,Smoke on the Water,rock,5SAUIWdZ04OxYfJFDchC7S,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173,4
208, T. Rex,Bang a Gong (Get It On) - Remastered Version,rock,6FsQrRpBLgsrFeAeiQqytm,0.729,0.818,2,-9.992,1,0.0732,0.157,0.285,0.195,0.907,125.811,267000,4
209, The Knack,My Sharona,rock,1HOMkjp0nHMaTnfAkslCQj,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4
210, The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),rock,5qBqBdfTEIWJwAS0Jm2F5R,0.452,0.818,2,-8.124,1,0.0439,0.135,2.72e-05,0.052,0.755,124.474,229360,4
211, Grateful Dead,Casey Jones - 2013 Remaster,rock,7LbfuQVct78YoghmoPtsQ8,0.671,0.405,0,-10.052,1,0.0392,0.385,0.0,0.132,0.828,99.678,265067,4
212, Led Zeppelin,Immigrant Song - Remaster,rock,78lgmZwycJ3nzsdgmPPGNx,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250,4
213, AC/DC,Dirty Deeds Done Dirt Cheap,rock,2d4e45fmUnguxh6yqC7gNT,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,231933,4
214, Van Halen,Jump - 2015 Remaster,rock,7N3PAbqfTjSEU1edb2tY8j,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000376,0.0702,0.796,129.994,241600,4
215, Mötley Crüe,Kickstart My Heart,rock,7GonnnalI2s19OCQO1J7Tf,0.361,0.97,7,-4.817,0,0.284,0.00169,0.00163,0.357,0.254,179.017,282920,4
216, Journey,Don't Stop Believin',rock,4bHsxqR3GMrXTxEPLuK5ue,0.5,0.748,4,-9.072,1,0.0363,0.127,0.0,0.447,0.514,118.852,250987,4
217, Bruce Springsteen,Born in the U.S.A.,rock,0dOg1ySSI7NkpAe89Zo0b9,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,278680,4
218, Depeche Mode Francois Kevorkian,Personal Jesus - Original Single Version,rock,1xShPgQbOUa98avWJQFDBY,0.637,0.682,11,-11.625,1,0.0366,0.0112,0.0234,0.0473,0.714,129.983,224907,4
219, The Clash,London Calling - Remastered,rock,5jzma6gCzYtKB1DbEwFZKH,0.651,0.801,0,-7.34,1,0.0513,0.123,0.0,0.0825,0.776,133.763,200480,4
220, Kansas,Carry on Wayward Son,rock,4DMKwE2E2iYDKY01C335Uw,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88e-05,0.446,0.793,126.755,323000,4
221, Creedence Clearwater Revival,Have You Ever Seen The Rain,rock,2LawezPeJhN4AWuSB0GtAU,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133,4
222, The Beatles,Back In The U.S.S.R. - 2018 Mix,rock,5Ly2g3fnof2iFE8zsQZJX2,0.51,0.893,9,-9.267,1,0.0342,0.00102,5.85e-05,0.201,0.934,142.657,163467,4
223, The Kinks,You Really Got Me,rock,1oG2vWELiGjIqxwqGcyqwF,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,133933,4
224, Pretenders,Back on the Chain Gang - 2007 Remaster,rock,4cMHCRLPNoEbpnl2rz6GS9,0.598,0.901,2,-6.081,1,0.0359,0.116,0.0401,0.178,0.814,153.24,231120,4
225, Supertramp,Give A Little Bit,rock,6XUHsYE38CEbYunT983O9G,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,248173,4
226, The Doors,Riders on the Storm,rock,14XWXWv5FoCbFzLksawpEe,0.549,0.722,11,-11.729,0,0.0283,0.25,0.0138,0.11,0.716,103.885,434720,4
227, Guns N' Roses,Sweet Child O' Mine,rock,7o2CTH4ctstm8TNelqjb51,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,4
228, Tom Petty,Free Fallin',rock,5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,256000,4
229, Ozzy Osbourne,Crazy Train,rock,2b9lp5A6CqSzwOrBfAFhof,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,296200,4
230, The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version,rock,2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4
231, Heart,Barracuda,rock,4KfSdst7rW39C0sfhArdrz,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,261933,4
232, Kansas,Dust in the Wind,rock,6zeE5tKyr8Nu882DQhhSQI,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,4
233, Aerosmith,Walk This Way,rock,2vX5WL7s6UdeQyweZEx7PP,0.629,0.785,5,-10.761,1,0.0471,0.0249,9.45e-06,0.0522,0.869,108.531,211027,4
234, Bad Company,Feel like Makin' Love - 2015 Remaster,rock,3KPwt1LBpt1jVSHz8GXERo,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,4
235, Ted Nugent,Stranglehold,rock,2f0P7iELCvAlV8j6Z3rGDE,0.484,0.711,2,-7.784,1,0.0331,0.0183,0.173,0.0941,0.49,148.189,503067,4
236, AC/DC,T.N.T.,rock,7LRMbd3LEoV5wZJvXT1Lwb,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,214667,4
237, Bon Jovi,Livin' On A Prayer,rock,0J6mQxEZnlRt9ymzFntA6z,0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93e-05,0.325,0.72,122.494,249293,4
238, The Hollies,Long Cool Woman (In a Black Dress) - 1999 Remaster,rock,5UwbnHhjnbinJH8TefuQfN,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,199200,4
239, Eagles,Life in the Fast Lane - 2013 Remaster,rock,6gXrEUzibufX9xYPk3HD5p,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,286220,4
240, The Rolling Stones,Gimme Shelter,rock,1dv3ePjze9tPq2pk8eWJdR,0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,270773,4
241, Free,All Right Now,rock,7IhkWF9zpiYKlU7CxHxYT9,0.766,0.446,2,-13.079,1,0.0867,0.25,0.000704,0.318,0.743,119.774,332907,4
242, Lynyrd Skynyrd,Free Bird,rock,4JNi40t7xR5bO3PWxRkiPN,0.279,0.852,7,-7.838,1,0.0511,0.0119,0.076,0.0624,0.438,117.418,558933,4
243, AC/DC,You Shook Me All Night Long,rock,2SiXAy7TuUkycRVbbWDEpo,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4
244, Pink Floyd,Money - 2011 Remastered Version,rock,3aoDEt6zSuYQ47gzarlaVo,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834,1
245, Guns N' Roses,Welcome To The Jungle,rock,0eFvoRSTTaR2q8bSWVjwfp,0.456,0.978,10,-4.869,0,0.112,0.0301,0.499,0.313,0.327,123.411,271867,4
246, David Bowie,Let's Dance - 1999 Remaster,rock,0F0MA0ns8oXwGw66B2BSXm,0.619,0.703,10,-9.414,0,0.0525,0.00388,0.205,0.163,0.709,115.043,457133,4
247, Cream,Sunshine Of Your Love,rock,5y4761pjcksXs1hNsCmc4n,0.691,0.592,2,-8.089,1,0.0366,0.389,3.29e-05,0.124,0.736,115.152,250400,4
248, Queen,We Will Rock You - Remastered,rock,54flyrjcdnQdco7300avMJ,0.693,0.497,2,-7.316,1,0.119,0.679,0.0,0.258,0.473,81.308,122067,4
249, The Who,Pinball Wizard,rock,1zGk1kgAxCpg6PHjGuLe4J,0.543,0.715,2,-8.89,1,0.0356,0.0192,0.0,0.256,0.468,124.011,180943,4
250, The Rolling Stones,Beast Of Burden - Remastered,rock,0832Tptls5YicHPGgw7ssP,0.786,0.87,1,-3.875,0,0.0316,0.413,0.000494,0.0389,0.864,100.66,265173,4
251, Talking Heads,Once in a Lifetime - 2005 Remaster,rock,38Ngied9rBORlAbLYNCl4k,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,259907,4
252, Boston,Peace of Mind,rock,3sY6z4pGcxpMwx3W026WtU,0.421,0.677,4,-6.183,1,0.0343,0.000989,9.65e-05,0.211,0.683,127.67,303587,4
253, Black Sabbath,Iron Man - 2012 - Remaster,rock,3IOQZRcEkplCXg6LofKqE9,0.336,0.792,9,-10.875,1,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,4
254, The Doobie Brothers,Listen to the Music,rock,7Ar4G7Ci11gpt6sfH9Cgz5,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53e-06,0.0721,0.913,105.929,227267,4
255, The Rolling Stones,Wild Horses - 2009 Mix,rock,52dm9op3rbfAkc1LGXgipW,0.432,0.389,7,-6.517,1,0.0255,0.687,0.0107,0.0788,0.158,139.506,341773,4
256, Skip the Use,Ghost,rock,59p3L2BcqN4L2DBBeg0KlQ,0.681,0.875,6,-4.272,0,0.0662,0.323,0.0,0.347,0.883,97.997,188533,4
257, Saez,Jeune et con,rock,0xLWMbuXHlW2O1DouU57AK,0.427,0.808,4,-6.939,0,0.0647,0.00111,0.0,0.744,0.33,102.893,232973,4
258, Louise Attaque,Ton invitation,rock,0xHLq3Ko1jt86yrcf1M04E,0.458,0.58,6,-7.835,0,0.0662,0.151,1.29e-06,0.282,0.628,98.405,159867,4
259, Les Rita Mitsouko,Ding Dang Dong (Ringing at Your Bell),rock,5SMv636dHIy8h1TXjoboue,0.644,0.895,2,-5.666,0,0.0365,0.0486,0.00732,0.212,0.839,122.1,219933,4
260, Gaëtan Roussel,Help Myself (Nous Ne Faisons Que Passer),rock,0M2Xjjd8xgwe8zJOzFPJlH,0.676,0.911,0,-3.605,0,0.0438,0.214,0.0,0.517,0.715,130.997,166293,4
261, Indochine,Alice & June - Mix 2020,rock,7taoYAfDTtuI5dxSBeijUO,0.456,0.888,2,-6.36,0,0.0756,0.00253,0.0214,0.322,0.315,136.114,208987,4
262, Empyr,New Day,rock,1UjnPnV8ua8XL6BulbZmru,0.466,0.931,11,-2.158,0,0.0494,0.000706,0.0426,0.432,0.419,101.592,175133,4
263, Silmarils Clive Martin,Karma,rock,5Mhh4h7CIC8EgwTtJjcc98,0.64,0.87,5,-7.91,0,0.101,0.0234,0.00502,0.166,0.904,79.971,222773,4
264, Miossec,Les Bières Aujourd’hui S’ouvrent Manuellement,rock,3YcylKDWGtb9yuBVJRObmO,0.563,0.868,11,-3.443,0,0.0341,0.000114,0.0483,0.245,0.94,102.912,178720,4
265, F.F.F.,Le pire et le meilleur,rock,3SrUddck55h8vSltaiRGdi,0.543,0.927,9,-7.055,0,0.064,0.0592,0.000569,0.377,0.721,127.762,205467,4
266, Astonvilla Jean Baptiste Mory Greg Baudrier Emmanuel Baroux Franck Pilant Frédéric Franchitti,Regarde-moi,rock,6Fo0iSM2LaVTCLS3WkTXgz,0.478,0.819,8,-2.127,1,0.032,0.000619,2.11e-05,0.234,0.405,92.026,240560,4
267, Louise Attaque,Anomalie,rock,4lzxPainD9ovAzAAAeXoqs,0.593,0.846,6,-6.556,0,0.0455,0.149,1.67e-06,0.13,0.421,123.987,189520,4
268, -M-,Mojo,rock,3XwQ8ks84wlj3YcRyxXrlN,0.413,0.943,1,-5.195,1,0.12,0.00125,0.0536,0.134,0.457,157.001,196600,4
269, Bertrand Cantat,L’Angleterre,rock,1QN7BO1eG8CsnmdZi72agF,0.524,0.721,1,-6.181,1,0.0281,0.289,0.00251,0.19,0.487,98.039,259347,4
270, Saez,J'accuse,rock,1tlli4qq3WJANcXdC1ZM6h,0.743,0.712,9,-5.018,0,0.0624,0.0759,0.0,0.0785,0.884,107.013,268533,4
271, Last Train,Cold Fever,rock,1faHiTYxPg7wTpxTTsbK0U,0.312,0.514,10,-11.239,1,0.0526,0.0145,0.059,0.114,0.416,163.087,210250,4
272, Pogo Car Crash Control,Comment lui en vouloir,rock,10k8YznHTvTzcQq4bwrX5T,0.268,0.855,2,-5.791,0,0.0448,3.32e-05,0.138,0.242,0.34,126.343,167901,4
273, Izïa,Let Me Alone,rock,5R8TGuZ8WSbH2ASGlLDpKg,0.41,0.772,9,-5.741,1,0.111,0.0301,0.038,0.09,0.556,161.868,231067,4
274, Marcel et son Orchestre,Raoul et Alain,rock,6QRrR32Yx14b9j1tcd82A0,0.664,0.827,4,-5.159,0,0.162,0.0166,4.42e-06,0.0886,0.7,96.9,153653,4
275, Stereotypical Working Class,Already Lost,rock,2eipnelVQfW7dXcpFJonAQ,0.567,0.816,9,-5.228,0,0.0655,0.00164,0.106,0.471,0.318,92.034,210893,4
276, Pleymo,Divine excuse,rock,0e5gaFZGe4hYscBzPBlc80,0.547,0.899,4,-4.967,1,0.0632,0.000199,0.0,0.327,0.449,99.931,210493,4
277, Saez,Jeunesse lève-toi,rock,4SNHtnHyAbSXgE7vbdblwp,0.733,0.28,2,-16.82,0,0.0422,0.835,7.6e-06,0.117,0.52,100.011,285733,4
278, Noir Désir,Le vent nous portera,rock,2ZQVJD9I6GCqXmkmMuEoLa,0.669,0.702,4,-10.616,0,0.0582,0.713,0.0408,0.119,0.793,105.232,288693,4
279, Mickey 3d,Respire,rock,2xcuDxTLlp0ro2GYlS1i9G,0.709,0.827,11,-4.4,0,0.0554,0.0372,0.386,0.228,0.371,96.972,228347,4
280, Les Innocents,Colore,rock,0YtkBsAVQM8En4dRTrPjVp,0.578,0.912,4,-6.37,1,0.0474,0.061,0.0739,0.1,0.604,108.849,294440,4
281, Da Silva,L'indécision,rock,41zrRHYHY72LCf2hzaK18z,0.67,0.611,11,-5.445,0,0.054,0.681,0.00261,0.127,0.912,142.263,185066,4
282, Les Wampas,Rimini,rock,5xo1GjsebrOd1iUVoJ6SEK,0.61,0.523,9,-5.95,1,0.0266,0.0467,0.00839,0.17,0.647,102.763,163760,4
283, Kaolin,Partons vite,rock,4bsSygJynZCIoU5xje0KQA,0.595,0.771,0,-7.695,0,0.0421,0.454,1.24e-06,0.172,0.701,94.963,241147,4
284, Matmatah,La cerise,rock,2quLcKfpSNzpnqSnR41MA5,0.547,0.745,2,-4.969,0,0.0397,0.0375,0.0,0.0851,0.358,104.935,215760,4
285, Cali,Elle m'a dit,rock,631aobaJggPYE0nIh3mo2t,0.575,0.947,4,-3.751,0,0.0617,0.156,0.0,0.14,0.504,134.124,213800,4
286, Tarmac,Notre Epoque,rock,0tas4ZLkePk8aTjt5eesp6,0.555,0.714,0,-6.044,1,0.0291,0.425,0.00225,0.13,0.644,132.031,214667,4
287, Autour de Lucie,Je reviens,rock,44zWQlazwx1gxxF3Sg4ujg,0.431,0.473,4,-8.763,0,0.0258,0.432,0.24,0.196,0.173,150.058,369267,4
288, Joseph d'Anvers,Radio 1,rock,4NpWFcNncNPuCvdP59vFTO,0.594,0.912,0,-6.919,1,0.0376,0.00343,0.426,0.164,0.652,108.019,193440,4
289, Blankass,Qui que tu sois,rock,6oS7ATqkkkuPH96EaUht4t,0.465,0.873,9,-3.833,0,0.0259,0.0176,0.00359,0.241,0.389,89.032,226587,4
290, Detroit,Droit Dans Le Soleil,rock,4rpeOY4yFkKFcImfFxZqqu,0.342,0.19,9,-11.601,0,0.0416,0.895,0.000673,0.155,0.291,182.133,204747,3
291, Arman Méliès,Constamment je brûle,rock,5snWds11nfrlppIdIpkm2U,0.412,0.739,2,-7.369,1,0.0439,0.0216,1.02e-06,0.271,0.398,147.908,354600,4
292, Prohom,Ca Oublie D'Aimer,rock,4cCSn4Pj0f2npuxs3vBGGF,0.653,0.681,0,-6.005,0,0.183,0.00843,1.46e-06,0.122,0.687,158.44,220573,4
293, Têtes Raides,L'Iditenté,rock,0YfbfdutOwXknxNIY1qwJ4,0.321,0.702,10,-4.622,0,0.0399,0.0339,0.000907,0.119,0.512,148.301,266080,4
294, Romain Humeau,Amour,rock,4Qe42FWomEZkq3pqLcj27R,0.631,0.791,11,-6.175,0,0.0343,0.00092,0.522,0.246,0.433,90.008,260427,4
295, Les Fatals Picards,Le Retour à la terre,rock,715zIQcEj658KTFby8MJYp,0.75,0.891,5,-5.033,1,0.0633,0.203,0.0,0.363,0.846,102.06,232773,4
